"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 19:40:11 GMT 2024","Sat Oct 19 19:40:12 GMT 2024","411","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sat Oct 19 19:40:08 GMT 2024","Sat Oct 19 19:40:08 GMT 2024","436","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sat Oct 19 19:40:10 GMT 2024","Sat Oct 19 19:40:10 GMT 2024","402","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Sat Oct 19 19:40:16 GMT 2024","Sat Oct 19 19:40:17 GMT 2024","393","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Sat Oct 19 19:40:12 GMT 2024","Sat Oct 19 19:40:12 GMT 2024","341","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sat Oct 19 19:40:15 GMT 2024","Sat Oct 19 19:40:15 GMT 2024","511","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Sat Oct 19 19:40:09 GMT 2024","Sat Oct 19 19:40:09 GMT 2024","416","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Sat Oct 19 19:40:05 GMT 2024","Sat Oct 19 19:40:06 GMT 2024","581","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Sat Oct 19 19:40:15 GMT 2024","Sat Oct 19 19:40:16 GMT 2024","485","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Sat Oct 19 19:40:12 GMT 2024","Sat Oct 19 19:40:13 GMT 2024","412","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Sat Oct 19 19:40:16 GMT 2024","Sat Oct 19 19:40:16 GMT 2024","484","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sat Oct 19 19:40:14 GMT 2024","Sat Oct 19 19:40:14 GMT 2024","428","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Sat Oct 19 19:40:12 GMT 2024","Sat Oct 19 19:40:12 GMT 2024","412","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sat Oct 19 19:40:09 GMT 2024","Sat Oct 19 19:40:10 GMT 2024","442","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Sat Oct 19 19:40:07 GMT 2024","Sat Oct 19 19:40:07 GMT 2024","388","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Sat Oct 19 19:40:07 GMT 2024","Sat Oct 19 19:40:07 GMT 2024","360","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sat Oct 19 19:40:10 GMT 2024","Sat Oct 19 19:40:10 GMT 2024","398","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Sat Oct 19 19:40:07 GMT 2024","Sat Oct 19 19:40:08 GMT 2024","405","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sat Oct 19 19:40:08 GMT 2024","Sat Oct 19 19:40:09 GMT 2024","509","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Oct 19 19:40:13 GMT 2024","Sat Oct 19 19:40:14 GMT 2024","426","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Sat Oct 19 19:40:14 GMT 2024","Sat Oct 19 19:40:15 GMT 2024","430","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Sat Oct 19 19:40:11 GMT 2024","Sat Oct 19 19:40:11 GMT 2024","411","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sat Oct 19 19:40:13 GMT 2024","Sat Oct 19 19:40:13 GMT 2024","442","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sat Oct 19 19:40:10 GMT 2024","Sat Oct 19 19:40:11 GMT 2024","412","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
