"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 19:22:27 GMT 2024","Sun Oct 20 19:22:27 GMT 2024","431","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Sun Oct 20 19:22:23 GMT 2024","Sun Oct 20 19:22:24 GMT 2024","308","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sun Oct 20 19:22:21 GMT 2024","Sun Oct 20 19:22:21 GMT 2024","928","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Sun Oct 20 19:22:25 GMT 2024","Sun Oct 20 19:22:25 GMT 2024","510","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sun Oct 20 19:22:24 GMT 2024","Sun Oct 20 19:22:24 GMT 2024","370","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Sun Oct 20 19:22:30 GMT 2024","Sun Oct 20 19:22:30 GMT 2024","413","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Sun Oct 20 19:22:25 GMT 2024","Sun Oct 20 19:22:26 GMT 2024","427","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Sun Oct 20 19:22:29 GMT 2024","Sun Oct 20 19:22:29 GMT 2024","391","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Sun Oct 20 19:22:26 GMT 2024","Sun Oct 20 19:22:26 GMT 2024","441","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Sun Oct 20 19:22:31 GMT 2024","Sun Oct 20 19:22:31 GMT 2024","428","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Sun Oct 20 19:22:33 GMT 2024","Sun Oct 20 19:22:33 GMT 2024","390","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Sun Oct 20 19:22:32 GMT 2024","Sun Oct 20 19:22:33 GMT 2024","488","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sun Oct 20 19:22:28 GMT 2024","Sun Oct 20 19:22:28 GMT 2024","423","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sun Oct 20 19:22:27 GMT 2024","Sun Oct 20 19:22:28 GMT 2024","425","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sun Oct 20 19:22:29 GMT 2024","Sun Oct 20 19:22:30 GMT 2024","445","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sun Oct 20 19:22:27 GMT 2024","Sun Oct 20 19:22:27 GMT 2024","398","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Sun Oct 20 19:22:32 GMT 2024","Sun Oct 20 19:22:32 GMT 2024","434","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Sun Oct 20 19:22:24 GMT 2024","Sun Oct 20 19:22:25 GMT 2024","438","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sun Oct 20 19:22:29 GMT 2024","Sun Oct 20 19:22:29 GMT 2024","330","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sun Oct 20 19:22:28 GMT 2024","Sun Oct 20 19:22:29 GMT 2024","442","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sun Oct 20 19:22:31 GMT 2024","Sun Oct 20 19:22:32 GMT 2024","497","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Sun Oct 20 19:22:24 GMT 2024","Sun Oct 20 19:22:24 GMT 2024","403","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sun Oct 20 19:22:26 GMT 2024","Sun Oct 20 19:22:27 GMT 2024","427","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Sun Oct 20 19:22:30 GMT 2024","Sun Oct 20 19:22:31 GMT 2024","423","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
